Prince Edward Island,,,,
#brackets,0,31984,63969,
#brackets,0,31984,63969,
#brackets,0,31984,63969,
#brackets,0,31984,63969,
,,,,
#rates,0.098,0.138,0.167,
#rates,0.098,0.138,0.167,
#rates,0.098,0.138,0.167,
#rates,0.098,0.138,0.167,
,,,,
#const_k,1,1279,3134,
#const_k,1,1279,3134,
#const_k,1,1279,3134,
#const_k,1,1279,3134,
,,,,
Claim code 1,,,,
#claim_amount,7708,7708,7708,7708
,,,,
#surtax,12500,0.1,,
#surtax,12500,0.1,,
#surtax,12500,0.1,,
#surtax,12500,0.1,,
,,,,
,,,,
,,,,
Uses NS wage table,,,,